时间戳记,name,age,gender,alcoholic beverage,grade,time,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10
2023-11-24 上午04:50:31,TEST,20,female,no,6,217.2388165,1,1,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-25 下午09:20:13,ynzx,19,female,no,6,234.9373572,1,1,1,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-27 下午09:31:33,YLYT,21,female,no,8,182.8657689,1,1,1,1,1,1,1,0,1,0
2023-11-27 下午11:13:38,vgat,21,female,no,1,95.17158294,0,1,1,0,0,0,0,0,0,0
2023-11-27 下午11:49:41,YCBH,20,female,no,3,194.9960711,0,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-27 下午11:51:59,CYNT,20,female,no,4,184.4953277,1,1,1,1,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-28 上午12:09:54,CTCT,21,female,no,3,191.042505,1,1,1,0,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-29 上午05:45:42,LQEG,20,female,no,0,265.8899498,0,0,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-29 上午06:56:23,KBMS,19,female,no,5,197.9463534,1,1,0,1,1,1,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-29 下午07:28:17,JPJP,19,female,no,7,199.0531819,1,1,0,1,1,1,1,1,Not Answered,Not Answered
2023-11-30 上午12:44:44,YKJL,21,female,no,3,193.6462905,1,1,0,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-30 上午02:04:35,MCHC,19,male,no,6,233.2271214,1,0,1,1,1,1,1,Not Answered,Not Answered,Not Answered
2023-11-30 上午04:06:36,AADY,20,male,no,1,68.64886689,0,0,0,0,0,0,0,1,0,0
2023-11-30 上午06:02:39,NAAS,22,female,no,2,180.5670393,1,1,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
2023-11-30 上午08:12:24,FZHF,19,male,no,6,187.8713791,1,1,1,1,0,1,1,Not Answered,Not Answered,Not Answered
2023-11-30 下午09:46:01,AFHY,19,female,no,0,54.72509241,0,0,0,0,0,0,0,0,0,0
2023-12-1 下午10:24:39,MKBP,18,female,no,4,192.8681934,1,0,1,1,0,1,0,Not Answered,Not Answered,Not Answered
2023-12-1 下午10:49:30,MRMR,20,male,no,8,195.0451291,1,1,1,1,1,1,1,0,1,Not Answered
2023-12-2 上午05:56:25,MGRG,20,male,no,1,128.7536361,0,0,0,0,0,0,1,0,0,0
2023-12-2 上午05:57:29,AFHY,19,female,no,1,95.75497627,0,0,1,0,0,0,0,0,0,0
2023-12-2 上午07:07:06,OCCL,19,male,no,6,186.9208405,1,0,1,1,1,1,1,0,Not Answered,Not Answered
2023-12-2 上午10:35:57,RSWS,19,male,no,6,193.7992883,1,1,1,1,1,1,0,Not Answered,Not Answered,Not Answered
