user_id,age,gender,score,average_time
RTDS,19,female,67,0.9116432905
CAJA,20,female,63,0.8573550781
KLPB,18,male,77,0.9260814428
VGAT,21,female,73,1.152688114
YKJL,21,female,87,1.215797941
MCHC,19,male,67,1.262874357
KYJS,19,female,90,0.8363329967
CYNT,20,female,90,0.9209822019
YCBH,20,female,90,1.21347568
CTCT,21,female,63,0.9425799608
LQEG,20,female,77,1.224079585
DATO,28,male,83,1.022253362
FZHF,19,male,80,1.027113318
RYJC,19,male,87,1.225382964
RHJM,20,male,83,1.27345554
HAHA,20,male,83,0.7811654965
ARKK,21,male,80,1.078669214
JCBC,19,male,83,0.8237201611
FWNO,20,male,73,1.191106598
SKHJ,19,female,77,1.515325403
ABAB,20,male,83,0.8021636804
WWWW,18,female,77,1.535741409
KKXX,20,male,67,1.781928047
CNDB,18,male,53,1.445826793
FGFG,20,male,57,0.7986312389
CJTY,21,male,57,1.940462271
TRLO,20,male,47,1.84366227
XTTR,21,male,60,1.770986438
JCPB,19,male,30,2.949527168
XIED,20,male,53,1.795420019
CLTC,21,male,77,1.023444295
YXTH,21,female,63,1.907519261
BWHA,23,male,50,2.041833274
SWRA,19,male,77,1.076991081
TTTT,20,male,77,1.485133362
ABCD,23,female,77,0.8632641713
ABCD,23,female,83,0.729310902
JUVE,20,male,83,1.017284028
XIED,20,male,87,0.884942317
WYCM,25,female,67,1.649546409
DXTC,20,female,63,1.778295159
DSGC,44,male,50,1.462508893
PENG,22,male,80,0.7277612766
HJJ1,20,man,57,1.557050379
TTTT,20,male,83,1.099496635
DXEW,20,male,70,1.162651523
YAGE,20,female,73,1.341892219
IVAN,21,male,67,1.236479497
ZHOU,28,female,77,1.754128551
ZQTC,54,female,63,1.721726378
GYSJ,10,male,83,1.798466698
QQQQ,20,male,63,1.004333409
DXEW,20,male,77,0.916835316
ABCD,13,male,53,2.497977471
