score_ans,order,score_spatial,Order,d_value,d_square,
73,11.5,10,1,10.5,110.25,
67,9,85.71428571,16.5,-7.5,56.25,
90,21,75,12,9,81,
63,6,60,7.5,-1.5,2.25,
80,15.5,85.71428571,16.5,-1,1,
83,18.5,60,7.5,11,121,
83,18.5,66.66666667,10.5,8,64,
73,11.5,50,4.5,7,49,
83,18.5,77.77777778,13,5.5,30.25,
77,13.5,80,14,-0.5,0.25,
67,9,60,7.5,1.5,2.25,
53,2,14.28571429,2,0,0,
57,3,66.66666667,10.5,-7.5,56.25,
47,1,100,20,-19,361,
60,4,100,20,-16,256,
67,9,100,20,-11,121,
80,15.5,22.22222222,3,12.5,156.25,
83,18.5,85.71428571,16.5,2,4,
63,6,50,4.5,1.5,2.25,
63,6,60,7.5,-1.5,2.25,
77,13.5,85.71428571,16.5,-3,9,
,,,,,1485.5,rs = 0.0354
