user_id,age,gender,score,average_time
VGAT,21,female,33.33,3.38
KYJS,19,female,20,3.76
CYNT,20,female,42.22,3.84
YCBH,20,female,47.78,4.16
CTCT,21,female,50,4.15
KBMS,19,female,48.89,4.17
MCHC,19,male,22.22,6.4
AADY,20,male,28.89,2.67
ACKD,19,female,64.44,3.65
AFHY,19,female,26.67,2.63
MGRG,20,male,43.33,2.54
OCCL,19,male,47.78,4.2
RSWS,19,male,23.33,4.75
QAMF,19,male,56.67,4.04
MMMM,20,Male,60,3.62
DSDS,19,female,31.11,1.75
Y,19,female,5.56,4.12
OLNJ,21,male,62.22,4.35
NSBK,19,male,27.78,2.55
HSUO,19,female,76.67,3.4
CKSB,19,female,25.56,3.79
AADY,20,male,0,7.54
FZHF,19,male,23.33,3.68
DATO,28,male,11.11,5.06
RHJM,20,male,58.89,4.57
HAHA,20,male,51.11,1.54
ABAB,20,male,37.78,3.02
FWNO,20,male,51.11,4.85
WWWW,18,female,16.67,6.09
KKXX,20,male,64.44,5.26
TRLO,20,male,20,5.6
XTTR,21,male,17.78,5.76
XIED,20,male,0,7.22
GXLR,19,female,54.44,4.81
FGFG,20,male,70,4.37
PENG,22,male,93.33,3.76
TTTT,20,male,58.89,4.67
DUUD,20,male,28.89,0.87
ZQTC,54,female,29,5.8
ZHOU,28,female,40,6
QQQQ,20,male,50,6.23
DXEW,20,male,22.4,5.6
WYCM,25,female,60,6.7
TTTT,20,male,40,5.67
DSAF,40,female,50,4.78
CNDB,19,male,20,5.6
TMDA,30,male,37.23,6.77
XYTT,19,female,45,5.43
GDDE,19,female,47,4.89
